code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
cf22e83c2259a22e69141f3b96273473;market for electricity, medium voltage;kilowatt hour;SS;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6b5767ccda900ec5d8696891fadea08f;market for electricity, medium voltage;kilowatt hour;UA;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
90b11b1817cb835e02ea337f50eaa450;market for electricity, medium voltage;kilowatt hour;CA-YK;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
f8f0ebb3b969c866061a2fabb944b242;market for electricity, high voltage;kilowatt hour;CZ;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6f962906724eedd284cc781b20444ead;market for electricity, high voltage;kilowatt hour;MM;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d29b46719dba7dfdc8f63ecf69df2ff6;market for tap water;kilogram;RoW;market activity;tap water;apos391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
ce44e0a0a105139b4f047e0f93bc5db7;market for electricity, high voltage;kilowatt hour;RO;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
7d3d0809ad1e4cfd4207b9fc4808549c;market for electricity, low voltage;kilowatt hour;MX;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
94a0b345fa25b83acb21c7158d64c4c5;market for natural gas, high pressure;cubic meter;TR;market activity;natural gas, high pressure;apos391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
e2792703778c4762d49bec15f46c96be;market for electricity, medium voltage;kilowatt hour;LT;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d778fe915e494eb0c52490bb9cfafe31;market for natural gas, high pressure;cubic meter;NG;market activity;natural gas, high pressure;apos391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
defa247eb1cbeac3166fe4676c8aa63a;market for natural gas, high pressure;cubic meter;CH;market activity;natural gas, high pressure;apos391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
c1809cdd280dcda2dd74e61c8e22ac6c;market for electricity, low voltage;kilowatt hour;IN-Southern grid;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8ee3df6c0cbfe24a4fd267766a87dd6d;market for electricity, low voltage;kilowatt hour;HK;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5751a69847d5520e510da650602242bf;market for electricity, medium voltage;kilowatt hour;LV;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
82b173d6a5fbf3604388a76194f03140;market for electricity, medium voltage;kilowatt hour;CA-MB;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a7e327bdd6a75333e204a17d6b4930f1;market for electricity, medium voltage;kilowatt hour;IE;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
967c48f8f916496b5cd2514b04560e15;market for electricity, low voltage;kilowatt hour;IT;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
fcd58c016b3a5ebde1846d5f0b7084c7;market for electricity, low voltage;kilowatt hour;BR-Southern grid;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
998ac52415fea88496f7097f18150477;market for electricity, medium voltage;kilowatt hour;JM;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
9fffaf92024322c09d045bc14f6da3e5;market for electricity, low voltage;kilowatt hour;KZ;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
74f983e61ba9cc202b0f45c7a69f8500;market for natural gas, high pressure;cubic meter;FR;market activity;natural gas, high pressure;apos391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
9f4110145b46087cd3f1ad8bbad3fefc;market for electricity, high voltage;kilowatt hour;CW;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6c732e2d10fcfbfc10c135272e1f4ad9;market for natural gas, high pressure;cubic meter;RoE;market activity;natural gas, high pressure;apos391;1.0;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
191f27a8ed69020e7aaefba8f0e3f65a;market for electricity, high voltage;kilowatt hour;NI;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
470cb912dc1182f370bec492fa74de74;market for electricity, medium voltage;kilowatt hour;AM;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
aca836caa4c609c0bc0318ab6214bc44;market for electricity, high voltage;kilowatt hour;US-MRO;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5510d8addbb48f73c9083bfc3ad9423c;market for electricity, low voltage;kilowatt hour;BN;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
f9aea9f5ab3058636de544c6790a338b;market for electricity, low voltage;kilowatt hour;NP;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a6b07a7208bc0f81b6277401be226789;market for electricity, low voltage;kilowatt hour;AR;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
002a802e06867baa5bbde5874cdd55c5;market for electricity, low voltage;kilowatt hour;QA;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
80eeffb6fd25794fe8349000e4281583;market for electricity, low voltage;kilowatt hour;LK;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
