code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
7c3a4f5b4c1ead435c71aeeaf815c4f5;market for electricity, medium voltage;kilowatt hour;KZ;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
bc4741f4af68cfa9dd6f8dfd447df94e;market for electricity, medium voltage;kilowatt hour;DO;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e8583fe3173b312b6d6a1bb6e9da5c49;market for electricity, low voltage;kilowatt hour;DE;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
2aa8881c4c9cb5a60e5648c04e6d74a9;market for electricity, medium voltage;kilowatt hour;SD;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
05d43bbf0daf096267c79c1c619660fc;market for electricity, medium voltage;kilowatt hour;SI;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
586ea46d09e2b7d1c75186f29412537e;market for electricity, high voltage;kilowatt hour;EE;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
45c396ed971743fe18b139b0feb1c20f;market for electricity, high voltage;kilowatt hour;TW;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
21b1b5cc5f4b01bad8e7e5cf4c04dba2;market for electricity, medium voltage;kilowatt hour;CY;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5c50c12136f92d9ee3f1d75d470a8e37;market for electricity, low voltage;kilowatt hour;SY;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
339a05db60df734db2f537f10e79c0a3;market for electricity, high voltage;kilowatt hour;PE;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
348aa28f5289e4f9845759c5cb202fa5;market for electricity, low voltage;kilowatt hour;TM;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
