code;name;unit;location;reference product;database;material_group;ISIC;CPC
c0f03b68ebf24b4ea061e1a5e76de2d4;market for cement, unspecified;kilogram;REF;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
56e3f89006ff1b973d5a440c3841a331;market for cement, unspecified;kilogram;IN;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
fd558441fc3d04fe59887ab30ce51119;market for graphite;kilogram;GLO;graphite;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;graphite;0899:Other mining and quarrying n.e.c.;16390: Other minerals n.e.c.
2f3da839f70e544e18c132d6794f9286;market for natural gas, high pressure;cubic meter;EC;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
5832d1003d144d6e954fac12c83582f5;market for natural gas, high pressure;cubic meter;World;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
98916038b56e9f9d8144eb118f5a0dd0;market for lithium carbonate;kilogram;GLO;lithium carbonate;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;lithium;2011:Manufacture of basic chemicals;"34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c."
f817c56fae1a4672b4dd5544c73f0970;market for cement, unspecified;kilogram;MEA;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
7857562c34354d4db1163ca2a849bfe6;market for natural gas, high pressure;cubic meter;REF;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
18834ad8984de59cb73fd125b10c9bc0;market for phosphate rock, beneficiated;kilogram;MA;phosphate rock, beneficiated;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;phosphate rock;0891:Mining of chemical and fertilizer minerals;34629: Other phosphatic fertilizers, n.e.c.
2ef550fab6f8f901fbcefc15c2cb314b;market for natural gas, low pressure;cubic meter;MX;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
13cf302430c141e18c3220de06396335;market for cement, unspecified;kilogram;World;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
e270f0f5b6204b8c0d5081c65b376444;market for natural gas, low pressure;cubic meter;CA;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
de03d27ded836711c700f636845168d5;market for sodium borates;kilogram;GLO;sodium borates;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;borates;0891:Mining of chemical and fertilizer minerals;16190: Other chemical minerals
8b62f30ed586a5f23611ef196cc97b93;market for copper, cathode;kilogram;GLO;copper, cathode;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;copper;2420:Manufacture of basic precious and other non-ferrous metals;"41413: Refined copper and copper alloys, unwrought; master alloys of copper"
7457a65c3bcddd58ce6013baabb78d0b;market for antimony;kilogram;GLO;antimony;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;antimony;2420:Manufacture of basic precious and other non-ferrous metals;"41603: Bismuth, antimony, manganese, chromium and articles thereof; including waste and scrap of bismuth or manganese"
6d9a0793f0b9456fb424683fdde64286;market for cement, unspecified;kilogram;NEU;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
af1b9da369e14cc9f20170a17290ac5d;market for natural gas, high pressure;cubic meter;RU;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
d864a0190b9688d765c53d3834caff91;market for sand;kilogram;BR;sand;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;sand;0810:Quarrying of stone, sand and clay;15310: Natural sands
1ca3ce740bbf409890e6ba66c0d51bce;market for cement, unspecified;kilogram;USA;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
7845ed1832169311d801fdda085439ff;market for natural gas, high pressure;cubic meter;AZ;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
0ff4eed6716c4592a4445aaa18ab3fbd;market for natural gas, high pressure;cubic meter;CHA;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
0c68daf6455c3e7750a7d48e87f17f7a;market for tantalum concentrate, 30% Ta2O5;kilogram;GLO;tantalum concentrate, 30% Ta2O5;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;tantalum;0729:Mining of other non-ferrous metal ores;41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]
2a952d78b2f7443f9203bd48e13a2b44;market for natural gas, high pressure;cubic meter;CAZ;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
0edf3a3e46a7b5860372df55f7c99872;market for palladium;kilogram;GLO;palladium;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;palladium;2420:Manufacture of basic precious and other non-ferrous metals;"4160: Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles […]"
a6f3597a3c9245b47db59643f4def5e5;market for silicon tetrahydride;kilogram;GLO;silicon tetrahydride;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
