code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
ac1573cc13ca701140af1b955f248755;market for electricity, high voltage;kilowatt hour;BH;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
7186f831f402b323f9a7b6bd2fd7bc3e;market for electricity, high voltage;kilowatt hour;MU;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a943b56def99b2620ec089d18719cde7;market for electricity, medium voltage;kilowatt hour;GH;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
3392910efdc6e01428b6427d25bfa92a;market for electricity, high voltage;kilowatt hour;TM;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a99af6e7d3af28b3355e3948d494acd3;market for electricity, high voltage;kilowatt hour;IQ;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
aaeefb356c7d37e2e0eb90e5793f7811;market for electricity, medium voltage;kilowatt hour;MM;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
80fcca8589fedf2ca441140bb8c913e6;market for petroleum;kilogram;RNA;petroleum;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;petroleum;4661:Wholesale of solid, liquid and gaseous fuels and related products;12010: Petroleum oils and oils obtained from bituminous minerals, crude
cae42dba59292cc05c430d2e4dc46ad4;market for electricity, medium voltage;kilowatt hour;ET;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b5775735d9519cc6392bde116bd51b38;market for electricity, medium voltage;kilowatt hour;LT;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d9b85ba341fc1a24bff09e8a077cb7af;market for electricity, low voltage;kilowatt hour;KW;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
