CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;production amount;reference product;unit
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;a061b6dc582741259ebea2c3407a5fc0;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;MEA;cement;market for cement, type S;;cement, type S;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;0670d51ade1a3b99220391640672a64c;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;CA-MB;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;49ebf3b90bb0440eaed68bdfe92ab7d0;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;MEA;hydrogen;market for hydrogen, gaseous, 20-year period;;hydrogen, gaseous;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;821a9658f7fa4eb08d021822c777d190;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;SSA;cement;market for cement, CEM II/A;;cement, CEM II/A;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;2a47d1f45c6b5a6410f707b7330d442e;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;IQ;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;c3b3c584801b4d71a903d176685dea5a;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;JPN;cement;market for cement, type I (SM);;cement, type I (SM);kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;9c7a5c25d74d4518929f1ecbeea473a3;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;OAS;cement;market for cement, type ICo;;cement, type ICo;kilogram
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";214df7141aa941ccaf743e7cfb42924b;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;CHA;natural gas;market for natural gas, high pressure, 60-year period;;natural gas, high pressure;cubic meter
3744: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;8e036435a5cd4820a48c95c135653e9b;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;MEA;cement;market for cement, Portland Slag;;cement, Portland Slag;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;b9e85ee8caa2f1aae06e56319b09cbbd;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;IS;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;bc1d35a3f60e498fa9ea12ce0252d905;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;NEU;cement;market for cement, CEM V/B;;cement, CEM V/B;kilogram
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;52a3c7055e895c1194b46ccd7450c190;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;PK;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;c6343bbacf6112213284c0b0c2d1cfc0;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;GI;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
34: Basic chemicals;photovoltaic/production of components;2011:Manufacture of basic chemicals;67ece99ef0c5d14c8608c570092a6ee5;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;RoW;silicon;market for silicon, single crystal, Czochralski process, photovoltaics;;silicon, single crystal, Czochralski process, photovoltaics;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;8716c8b6f2df996ded54c67472212da9;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;RoW;cement;market for cement, CEM III/A;;cement, CEM III/A;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;1b6ecac564424579b6f2c63b4730e162;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;OAS;cement;market for cement, CP IV;;cement, CP IV;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;5c8ec981ef841cb9b6e35f167cc4e308;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;CL;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;feadd4245dd042a587996941055bb8c9;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;CHA;cement;market for cement, CEM II/B-S;;cement, CEM II/B-S;kilogram
16190: Other chemical minerals;chemicals/inorganics;0891:Mining of chemical and fertilizer minerals;de03d27ded836711c700f636845168d5;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;GLO;borates;market for sodium borates;;sodium borates;kilogram
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;1bbba12eca72ea717fd60042ce70ab5e;ecoinvent_cutoff_3.9_remind_SSP5-PkBudg500_2020;CH;cement;market for cement, CEM II/A;;cement, CEM II/A;kilogram
