('12/12/2023, 00:14:52', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_digestion-cubicmeter', 'additions', 16, 'duration:', '0:14:38.379049')
('12/12/2023, 00:14:52', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_digestion-kilogram', 'additions', 4, 'duration:', '0:14:38.447272')
('12/12/2023, 00:15:00', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_hazardous-cubicmeter', 'additions', 461, 'duration:', '0:14:46.418353')
('12/12/2023, 00:15:38', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_hazardous-kilogram', 'additions', 2228, 'duration:', '0:15:23.868718')
('12/12/2023, 00:15:38', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_incineration-cubicmeter', 'additions', 2, 'duration:', '0:15:23.899671')
('12/12/2023, 00:16:28', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_incineration-kilogram', 'additions', 2898, 'duration:', '0:16:13.966669')
('12/12/2023, 00:16:28', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_landfill-cubicmeter', 'additions', 2, 'duration:', '0:16:13.997905')
('12/12/2023, 00:16:57', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_landfill-kilogram', 'additions', 1728, 'duration:', '0:16:43.116457')
('12/12/2023, 00:17:06', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_openburning-kilogram', 'additions', 535, 'duration:', '0:16:52.566771')
('12/12/2023, 00:17:09', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_recycling-kilogram', 'additions', 150, 'duration:', '0:16:55.094432')
('12/12/2023, 00:18:55', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_total-cubicmeter', 'additions', 4868, 'duration:', '0:18:41.583280')
('12/12/2023, 00:30:06', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2020', 'WasteFootprint_total-kilogram', 'additions', 31900, 'duration:', '0:29:52.106685')
('12/12/2023, 00:30:23', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_antimony', 'additions', 27, 'duration:', '0:00:00.732907')
('12/12/2023, 00:30:24', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_bauxite', 'additions', 28, 'duration:', '0:00:01.452134')
('12/12/2023, 00:30:24', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:01.474808')
('12/12/2023, 00:30:24', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:01.874363')
('12/12/2023, 00:30:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:02.244947')
('12/12/2023, 00:31:07', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_cement', 'additions', 1540, 'duration:', '0:00:44.759776')
('12/12/2023, 00:31:07', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:00:44.826877')
('12/12/2023, 00:31:16', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_chromium', 'additions', 473, 'duration:', '0:00:53.479396')
('12/12/2023, 00:31:19', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_coal', 'additions', 146, 'duration:', '0:00:56.616392')
('12/12/2023, 00:31:23', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_cobalt', 'additions', 166, 'duration:', '0:01:00.181651')
('12/12/2023, 00:31:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_coke', 'additions', 110, 'duration:', '0:01:02.386066')
('12/12/2023, 00:31:49', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_copper', 'additions', 1237, 'duration:', '0:01:26.463937')
('12/12/2023, 00:31:49', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:01:26.488536')
('12/12/2023, 00:39:11', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_electricity', 'additions', 23936, 'duration:', '0:08:48.274214')
('12/12/2023, 00:39:11', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:08:48.300425')
('12/12/2023, 00:39:11', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_europium', 'additions', 1, 'duration:', '0:08:48.318604')
('12/12/2023, 00:39:11', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_fluorspar', 'additions', 29, 'duration:', '0:08:48.904952')
('12/12/2023, 00:39:11', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_gadolinium', 'additions', 1, 'duration:', '0:08:48.927618')
('12/12/2023, 00:39:11', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_gallium', 'additions', 4, 'duration:', '0:08:49.019118')
('12/12/2023, 00:39:12', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_gold', 'additions', 11, 'duration:', '0:08:49.258094')
('12/12/2023, 00:39:12', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_graphite', 'additions', 33, 'duration:', '0:08:49.905918')
('12/12/2023, 00:39:13', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_helium', 'additions', 46, 'duration:', '0:08:51.053033')
('12/12/2023, 00:39:13', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_holmium', 'additions', 1, 'duration:', '0:08:51.079104')
('12/12/2023, 00:39:37', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_hydrogen', 'additions', 939, 'duration:', '0:09:14.640955')
('12/12/2023, 00:39:37', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_indium', 'additions', 13, 'duration:', '0:09:14.968428')
('12/12/2023, 00:39:39', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_latex', 'additions', 50, 'duration:', '0:09:16.305931')
('12/12/2023, 00:39:40', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_lithium', 'additions', 52, 'duration:', '0:09:17.634718')
('12/12/2023, 00:39:48', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_magnesium', 'additions', 312, 'duration:', '0:09:25.867217')
