('12/13/2023, 16:53:51', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_cement', 'additions', 1540, 'duration:', '0:01:04.217473')
('12/13/2023, 16:53:51', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:01:04.263391')
('12/13/2023, 16:53:59', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_chromium', 'additions', 473, 'duration:', '0:01:12.318314')
('12/13/2023, 16:54:02', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_coal', 'additions', 146, 'duration:', '0:01:15.216097')
('12/13/2023, 16:54:05', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_cobalt', 'additions', 166, 'duration:', '0:01:18.040412')
('12/13/2023, 16:54:07', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_coke', 'additions', 110, 'duration:', '0:01:19.953012')
('12/13/2023, 16:54:29', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_copper', 'additions', 1237, 'duration:', '0:01:42.330764')
('12/13/2023, 16:54:29', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:01:42.354110')
('12/13/2023, 17:01:16', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_electricity', 'additions', 23936, 'duration:', '0:08:29.002850')
('12/13/2023, 17:01:16', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:08:29.020229')
('12/13/2023, 17:01:16', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_europium', 'additions', 1, 'duration:', '0:08:29.038510')
('12/13/2023, 17:01:16', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_fluorspar', 'additions', 29, 'duration:', '0:08:29.496848')
('12/13/2023, 17:01:17', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_gadolinium', 'additions', 1, 'duration:', '0:08:29.525525')
('12/13/2023, 17:01:17', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_gallium', 'additions', 4, 'duration:', '0:08:29.590074')
('12/13/2023, 17:01:17', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_gold', 'additions', 11, 'duration:', '0:08:29.772581')
('12/13/2023, 17:01:17', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_graphite', 'additions', 33, 'duration:', '0:08:30.332471')
('12/13/2023, 17:01:18', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_helium', 'additions', 46, 'duration:', '0:08:31.130429')
('12/13/2023, 17:01:18', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_holmium', 'additions', 1, 'duration:', '0:08:31.153067')
('12/13/2023, 17:01:30', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_hydrogen', 'additions', 673, 'duration:', '0:08:42.923338')
('12/13/2023, 17:01:30', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_indium', 'additions', 13, 'duration:', '0:08:43.141227')
('12/13/2023, 17:01:31', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_latex', 'additions', 50, 'duration:', '0:08:44.000050')
('12/13/2023, 17:01:32', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_lithium', 'additions', 52, 'duration:', '0:08:44.907503')
('12/13/2023, 17:01:37', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_magnesium', 'additions', 312, 'duration:', '0:08:50.245179')
('12/13/2023, 17:02:30', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_natural gas', 'additions', 2967, 'duration:', '0:09:42.613411')
('12/13/2023, 17:02:37', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_nickel', 'additions', 434, 'duration:', '0:09:49.916924')
('12/13/2023, 17:02:37', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_palladium', 'additions', 35, 'duration:', '0:09:50.499423')
('12/13/2023, 17:02:46', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_petroleum', 'additions', 507, 'duration:', '0:09:59.326426')
