('10/02/2023, 23:45:24', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_tantalum', 'additions', 2, 'duration:', '0:00:00.032957')
('10/02/2023, 23:45:24', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_tungsten', 'additions', 5, 'duration:', '0:00:00.078070')
('10/02/2023, 23:45:25', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_vegetable oil', 'additions', 34, 'duration:', '0:00:00.538558')
('10/02/2023, 23:48:10', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_water', 'additions', 10145, 'duration:', '0:02:45.319016')
('10/02/2023, 23:48:14', 'ecoinvent_3.9.1_cutoff', 'MaterialDemand_zinc', 'additions', 239, 'duration:', '0:00:03.859557')
('10/02/2023, 23:48:14', 'ecoinvent_3.9.1_cutoff', 'waste_composting_kilogram', 'additions', 26, 'duration:', '0:00:00.416320')
('10/02/2023, 23:48:15', 'ecoinvent_3.9.1_cutoff', 'waste_digestion_cubicmeter', 'additions', 16, 'duration:', '0:00:00.266796')
('10/02/2023, 23:48:15', 'ecoinvent_3.9.1_cutoff', 'waste_digestion_kilogram', 'additions', 4, 'duration:', '0:00:00.063523')
('10/02/2023, 23:48:22', 'ecoinvent_3.9.1_cutoff', 'waste_hazardous_cubicmeter', 'additions', 423, 'duration:', '0:00:07.029802')
('10/02/2023, 23:48:52', 'ecoinvent_3.9.1_cutoff', 'waste_hazardous_kilogram', 'additions', 1842, 'duration:', '0:00:30.020209')
('10/02/2023, 23:48:52', 'ecoinvent_3.9.1_cutoff', 'waste_incineration_cubicmeter', 'additions', 2, 'duration:', '0:00:00.031818')
('10/02/2023, 23:49:23', 'ecoinvent_3.9.1_cutoff', 'waste_incineration_kilogram', 'additions', 1897, 'duration:', '0:00:31.326594')
('10/02/2023, 23:49:23', 'ecoinvent_3.9.1_cutoff', 'waste_landfill_cubicmeter', 'additions', 2, 'duration:', '0:00:00.032716')
('10/02/2023, 23:49:46', 'ecoinvent_3.9.1_cutoff', 'waste_landfill_kilogram', 'additions', 1430, 'duration:', '0:00:23.233281')
('10/02/2023, 23:50:44', 'ecoinvent_3.9.1_cutoff', 'waste_non_hazardous_cubicmeter', 'additions', 3553, 'duration:', '0:00:57.783024')
('10/02/2023, 23:58:10', 'ecoinvent_3.9.1_cutoff', 'waste_non_hazardous_kilogram', 'additions', 27041, 'duration:', '0:07:26.035509')
('10/02/2023, 23:58:19', 'ecoinvent_3.9.1_cutoff', 'waste_open_burning_kilogram', 'additions', 535, 'duration:', '0:00:08.930618')
('10/02/2023, 23:58:21', 'ecoinvent_3.9.1_cutoff', 'waste_recycling_kilogram', 'additions', 129, 'duration:', '0:00:02.204850')
('10/02/2023, 23:59:28', 'ecoinvent_3.9.1_cutoff', 'waste_total_cubicmeter', 'additions', 3976, 'duration:', '0:01:06.442052')
