('12/11/2023, 14:11:45', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_incineration-cubicmeter', 'additions', 2, 'duration:', '0:14:57.104991')
('12/11/2023, 14:12:18', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_incineration-kilogram', 'additions', 1897, 'duration:', '0:15:29.405810')
('12/11/2023, 14:12:18', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_landfill-cubicmeter', 'additions', 2, 'duration:', '0:15:29.439192')
('12/11/2023, 14:12:42', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_landfill-kilogram', 'additions', 1430, 'duration:', '0:15:53.421576')
('12/11/2023, 14:12:51', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_openburning-kilogram', 'additions', 535, 'duration:', '0:16:02.536661')
('12/11/2023, 14:12:53', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_recycling-kilogram', 'additions', 129, 'duration:', '0:16:04.822001')
('12/11/2023, 14:14:01', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_total-cubicmeter', 'additions', 3976, 'duration:', '0:17:12.304859')
('12/11/2023, 14:22:06', 'ecoinvent-3.9.1-cutoff', 'WasteFootprint_total-kilogram', 'additions', 28883, 'duration:', '0:25:18.119620')
('12/11/2023, 14:22:21', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_antimony', 'additions', 27, 'duration:', '0:00:00.593359')
('12/11/2023, 14:22:22', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_bauxite', 'additions', 28, 'duration:', '0:00:01.216141')
('12/11/2023, 14:22:22', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:01.239511')
('12/11/2023, 14:22:22', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:01.578155')
('12/11/2023, 14:22:23', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:01.954429')
('12/11/2023, 14:22:54', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_cement', 'additions', 1540, 'duration:', '0:00:33.105544')
('12/11/2023, 14:22:54', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:00:33.171699')
('12/11/2023, 14:23:02', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_chromium', 'additions', 473, 'duration:', '0:00:41.692717')
('12/11/2023, 14:23:05', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_coal', 'additions', 146, 'duration:', '0:00:44.642329')
('12/11/2023, 14:23:09', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_cobalt', 'additions', 166, 'duration:', '0:00:48.060843')
('12/11/2023, 14:23:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_coke', 'additions', 110, 'duration:', '0:00:50.279115')
('12/11/2023, 14:23:35', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_copper', 'additions', 1237, 'duration:', '0:01:13.978922')
('12/11/2023, 14:23:35', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:01:13.995783')
('12/11/2023, 14:30:24', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_electricity', 'additions', 23936, 'duration:', '0:08:03.421778')
('12/11/2023, 14:30:24', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:08:03.437954')
('12/11/2023, 14:30:24', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_europium', 'additions', 1, 'duration:', '0:08:03.453709')
('12/11/2023, 14:30:25', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_fluorspar', 'additions', 29, 'duration:', '0:08:03.964805')
('12/11/2023, 14:30:25', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_gadolinium', 'additions', 1, 'duration:', '0:08:03.988815')
('12/11/2023, 14:30:25', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_gallium', 'additions', 4, 'duration:', '0:08:04.065485')
('12/11/2023, 14:30:25', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_gold', 'additions', 11, 'duration:', '0:08:04.242248')
('12/11/2023, 14:30:25', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_graphite', 'additions', 33, 'duration:', '0:08:04.818430')
('12/11/2023, 14:30:26', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_helium', 'additions', 46, 'duration:', '0:08:05.615539')
('12/11/2023, 14:30:26', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_holmium', 'additions', 1, 'duration:', '0:08:05.637993')
('12/11/2023, 14:30:38', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_hydrogen', 'additions', 673, 'duration:', '0:08:17.774721')
('12/11/2023, 14:30:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_indium', 'additions', 13, 'duration:', '0:08:17.989756')
('12/11/2023, 14:30:40', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_latex', 'additions', 50, 'duration:', '0:08:18.883179')
('12/11/2023, 14:30:40', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_lithium', 'additions', 52, 'duration:', '0:08:19.843899')
('12/11/2023, 14:30:46', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_magnesium', 'additions', 312, 'duration:', '0:08:25.515769')
('12/11/2023, 14:31:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_natural gas', 'additions', 2967, 'duration:', '0:09:18.106915')
('12/11/2023, 14:31:46', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_nickel', 'additions', 434, 'duration:', '0:09:25.320488')
('12/11/2023, 14:31:47', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_palladium', 'additions', 35, 'duration:', '0:09:25.902042')
('12/11/2023, 14:31:55', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_petroleum', 'additions', 507, 'duration:', '0:09:34.510211')
('12/11/2023, 14:31:59', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2020', 'MaterialFootprint_phosphate rock', 'additions', 207, 'duration:', '0:09:38.148278')
