;name;db_target;db_year;method_0;method_1;method_2;activity;unit;total;46430: Parts of primary cells, primary batteries and electric accumulators (including separators);4153: Semi-finished products of aluminium or aluminium alloys;41431: Unwrought aluminium;46410: Primary cells and primary batteries;88752: Battery and accumulator manufacturing services;53269: Other constructions for manufacturing;39363: Waste and scrap of aluminium;"471: Electronic valves and tubes; electronic components; parts thereof";35470: Chemical elements and compounds doped for use in electronics;46950: Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…];47130: Printed circuits;"41412: Unrefined copper; copper anodes for electrolytic refining";"463: Insulated wire and cable; optical fibre cables";342: Basic inorganic chemicals n.e.c.;341: Basic organic chemicals;89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services;4124: Bars and rods, hot-rolled, of iron or steel;34710: Polymers of ethylene, in primary forms;39990: Other wastes n.e.c.;6511: Road transport services of freight;34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];17100: Electrical energy;65119: Other road transport services of freight;65213: Coastal and transoceanic water transport services of intermodal containers by container ships;"47150: Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]";53211: Highways (except elevated highways), streets and roads;17300: Steam and hot water;4151: Semi-finished products of copper or copper alloys;41513: Wire of copper;88601: Basic iron and steel manufacturing services;89200: Moulding, pressing, stamping, extruding and similar plastic manufacturing services;893: Casting, forging, stamping and similar metal manufacturing services;"41413: Refined copper and copper alloys, unwrought; master alloys of copper";47120: Electrical resistors (except heating resistors);4: Metal products, machinery and equipment;88741: Electronic component and board manufacturing services;47110: Electrical capacitors;531: Buildings;47160: Electronic integrated circuits;3712: Glass fibres and articles thereof, except woven fabrics;41122: Alloy steel in ingots or other primary forms and semi-finished products of alloy steel;6512: Railway transport services of freight;54269: General construction services of other industrial plants;"34250: Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…]";"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";41121: Non-alloy steel in ingots or other primary forms, and semi-finished products of non-alloy steel;39: Wastes or scraps;347: Plastics in primary forms;65229: Other inland water transport services of freight;39310: Slag, dross, scalings and other waste from the manufacture of iron or steel;33380: Lubricants;49114: Motor vehicles n.e.c. for the transport of goods;87141: Maintenance and repair services of motor vehicles;65219: Other coastal and transoceanic water transport services of other freight;36990: Articles of plastics n.e.c.;41443: Tin, unwrought;18000: Natural water;Unnamed: 77;33360: Gas oil;"333: Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by […]";14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);53212: Railways;4611: Electric motors, generators and the like;"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]"
2770;LiMn2O4;Base;2050;T-reX;Waste: Landfill combined;Landfill (kg);NMC111, rechargeable, prismatic;kg;12.892540857958366;0.8944785403188523;0.008900711964578;;0.0013037745890945;0.00831614482593;0.0261203492301659;;0.0022869396062458;0.0124213357790401;0.0048249916372237;0.0008873354430482;0.0045134310759162;;0.0;0.0;0.0031747945308182;0.0003087356475829;0.0;0.0;;0.0002810493722635;0.0007277341396216;0.0012840926076892;0.0;0.0;0.0007475437798435;0.0003792443020986;0.0003021501406396;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0153064074721901;0.0;;0.0;0.0;;;;0.0;;;;;;;;;;;;0.0120924615102268;;;;;;
2771;NCA;Base;2050;T-reX;Waste: Landfill combined;Landfill (kg);NCA, rechargeable, prismatic;kg;10.645795697089056;0.8632683654980593;0.0113912462650782;;0.001415755492425;0.0104876523029299;0.0352938520816673;;0.0029821372002408;0.0149020927694708;0.0066753643426334;0.0011893055578239;0.005682979635593;;0.0;0.0;0.0040819564782156;0.0003753456721843;0.0;0.0;;0.0003773181292314;0.0011078009221028;0.0016789248900772;0.0;0.0;0.0010452639199972;0.0005093118936737;0.0003728421343921;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0214024059952783;0.0;;0.0;0.0;;;;0.0;;;;;;;;;;;;0.0144148042829959;;;;;;
2772;NMC811;Base;2050;T-reX;Waste: Landfill combined;Landfill (kg);NMC811, rechargeable, prismatic;kg;9.58617047214983;0.8529020473430174;0.0124296548812947;;0.0015685676334059;0.0116489617467925;0.0358012033153366;;0.0030828818365032;0.0189303614753647;0.0070713251313981;0.0011948359343933;0.0060913452059381;;0.0;0.0;0.0044686421786192;0.00043151470075;0.0;0.0;;0.0004046781853939;0.0011590506879479;0.001857866325316;0.0;0.0;0.0010503299628643;0.000532902373284;0.000393658991127;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0215061362629718;0.0;;0.0;0.0;;;;0.0;;;;;;;;;;;;0.0160994550078685;;;;;;
2773;NMC111;Base;2050;T-reX;Waste: Landfill combined;Landfill (kg);LFP, rechargeable, prismatic;kg;4.246951471539414;0.6748788299343829;0.0236546083832266;;0.003091704775652;0.0244656805605977;0.0602584421656283;;0.0058212266382445;0.0572914849010982;0.0123179993768169;0.0053262134970195;0.0121704641871714;;0.0;0.0;0.0096504179112451;0.0012607641196936;0.0002669372851346;0.0;;0.0011842941371594;0.0014372178455047;0.0001501780097436;0.0;0.0;0.0028961479083191;0.0009580672247878;0.0008476639080001;0.0;0.0001126612202382;0.0;0.0006897284336566;0.0;0.0;;0.0;0.0;0.0593003663193349;0.0;;0.0011280126917903;0.0023199503852276;;;;0.0;;;;;;;;;;;;0.0358334114715889;;;;;;
2774;LFP;Base;2050;T-reX;Waste: Landfill combined;Landfill (kg);LiMn2O4, rechargeable, prismatic;kg;1.9643525660373955;0.5000033002315188;0.0052229564043715;;0.0252794057040308;0.0;0.01748764340151;;0.0114643880023781;0.0;0.0722457340292495;0.0105241439399607;0.0;;0.0817726812717239;0.0131171922434678;0.0;0.012665853957251;0.0084604651423555;0.020502321947663;;0.0;0.0003582698630365;0.0090086216266978;0.0001022481735468;0.0001804925559273;0.0027794150244394;0.0;0.0;0.0012126242176109;0.0108472616523135;0.0021130300320137;0.0;0.014604111928985;0.0001307478715387;;0.0009888831272259;0.0004418343521345;0.056910190473795;0.0144646970967404;;0.0156521773645835;0.0005220630320412;;;;0.017945391084662;;;;;;;;;;;;0.0715189669902648;;;;;;
2775;LiMn2O4;Base;2050;T-reX;Waste: Openburning combined;Openburning (kg);NCA, rechargeable, prismatic;kg;0.0168199962384397;0.2020295075772252;0.0121752315224404;;0.0046570687810426;0.0099017343825814;0.1595480659902056;;0.0492792629030029;0.0224318701008862;0.007253631201191;0.0118500743569237;0.0082887587921126;;0.0;0.0;0.0337278692917766;0.0;0.0003681898443733;0.0;;0.0010180563526418;0.00100601078306;0.0003197599887386;0.0;0.0;0.0004370377077643;0.0009770454678736;0.0065281744090034;0.0;0.0;0.0008675530227967;0.0220319066875497;0.000765831877365;0.0;;0.0;0.0;0.1948831156564195;0.0;0.0;0.0002101779234761;0.0;0.2458446276072672;;;;;;;;;;;;;;;0.0015558426901925;;;;;;
2776;NCA;Base;2050;T-reX;Waste: Openburning combined;Openburning (kg);NMC111, rechargeable, prismatic;kg;0.016137513933924;0.2352120456944114;0.012123913015912;;0.0054134803208398;0.0099483914765193;0.151698541683946;;0.0478857218784597;0.0236013135022535;0.006681442750434;0.0111646718579845;0.0084548709503133;;0.0;0.0;0.0337011093333984;0.0;0.0003733046204093;0.0;;0.0009578057730178;0.0009455330028963;0.0003332831704939;0.0;0.0;0.0003945292755937;0.000918913295381;0.0066590033023743;0.0;0.0;0.0008832823767535;0.0207489496680648;0.000721236128266;0.0;;0.0;0.0;0.1760079086998711;0.0;0.0;0.0001979388900557;0.0;0.241349004853419;;;;;;;;;;;;;;;0.0016294665380218;;;;;;
2777;NMC811;Base;2050;T-reX;Waste: Openburning combined;Openburning (kg);NMC811, rechargeable, prismatic;kg;0.0159470731490758;0.1997101474907696;0.0126366501946593;;0.0049004907612669;0.010461420518396;0.1543150343982517;;0.0493061282441535;0.0270638173657039;0.0072982809452541;0.0113088902366679;0.008463500198444;;0.0;0.0;0.0355393790244109;0.0;0.0003679874370266;0.0;;0.0010372847743059;0.0009996668046938;0.0003372632556149;0.0;0.0;0.0004170908217082;0.0009711810767354;0.0066657996440496;0.0;0.0;0.0008707774022508;0.0210222326954744;0.0007307354810411;0.0;;0.0;0.0;0.1860222080418001;0.0;0.0;0.0002005459299291;0.0;0.2556083433713051;;;;;;;;;;;;;;;0.0016309700777744;;;;;;
2778;NMC111;Base;2050;T-reX;Waste: Openburning combined;Openburning (kg);LFP, rechargeable, prismatic;kg;0.013653087468745;0.1640675155003371;0.0142238399741281;;0.0049982342561133;0.0068776729924117;0.1417742681434741;;0.0497781500089943;0.0423840535999984;0.0069787125160003;0.0116088980439696;0.0088884452324347;;0.0;0.0;0.0583155616702569;0.0;0.0003044231250684;0.0;;0.0013420941338627;0.0003725404202679;0.0;0.0;0.0;0.0003064103653084;0.0007918970802393;0.0070004836861008;0.0;0.0;0.0009969582206807;0.0219495400909369;0.0005714486703096;0.0;;0.0;0.0;0.1776653344546314;0.0;0.0;0.0001568306288217;0.000191801513964;0.2733297577930372;;;;;;;;;;;;;;;0.0019937203048195;;;;;;
2779;LFP;Base;2050;T-reX;Waste: Openburning combined;Openburning (kg);LiMn2O4, rechargeable, prismatic;kg;0.0046822749110699;0.1325993849470798;0.0064204632928535;;0.0551190283861728;0.0;0.0401980326668617;;0.0006625112460336;0.0;0.0510954625292235;0.0049951070221022;0.0;;0.0757671290538256;0.0185231492641366;0.0;0.0079779460648483;0.0197248735529187;0.2426814607603551;;0.0;0.0002624582625741;0.0011486642518729;0.0001037895837368;0.0031154957052448;0.0005156411461643;0.0;0.0;0.018391940423858;0.0033326637693347;0.0438162327995555;0.0;0.0268099847758269;0.000447157149735;;0.0047755397102094;0.0012367481741559;0.2064245716463153;0.0270456604569644;0.0007422135282022;0.0;0.0;0.0;;;;;;;;;;;;;;;0.005299465492495;;;;;;
