('03/10/2024, 00:32:22', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_magnesium', 'additions', 264, 'duration:', '0:08:08.547125')
('03/10/2024, 00:34:00', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_natural gas', 'additions', 5825, 'duration:', '0:09:46.417425')
('03/10/2024, 00:34:06', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_nickel', 'additions', 369, 'duration:', '0:09:52.637217')
('03/10/2024, 00:34:07', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_palladium', 'additions', 23, 'duration:', '0:09:53.033064')
('03/10/2024, 00:34:15', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_petroleum', 'additions', 504, 'duration:', '0:10:01.148356')
('03/10/2024, 00:34:18', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_phosphate rock', 'additions', 207, 'duration:', '0:10:04.627118')
('03/10/2024, 00:34:21', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_platinum', 'additions', 170, 'duration:', '0:10:07.423044')
('03/10/2024, 00:34:22', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_rare earth', 'additions', 37, 'duration:', '0:10:08.031208')
('03/10/2024, 00:34:22', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_rhodium', 'additions', 11, 'duration:', '0:10:08.220002')
('03/10/2024, 00:34:31', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_sand', 'additions', 560, 'duration:', '0:10:17.677571')
('03/10/2024, 00:34:31', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_scandium', 'additions', 1, 'duration:', '0:10:17.703330')
('03/10/2024, 00:34:31', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_selenium', 'additions', 9, 'duration:', '0:10:17.855568')
('03/10/2024, 00:34:37', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_silicon', 'additions', 364, 'duration:', '0:10:23.973891')
('03/10/2024, 00:34:38', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_silver', 'additions', 50, 'duration:', '0:10:24.788796')
('03/10/2024, 00:34:39', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_strontium', 'additions', 28, 'duration:', '0:10:25.255499')
('03/10/2024, 00:34:39', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_tantalum', 'additions', 3, 'duration:', '0:10:25.310200')
('03/10/2024, 00:34:39', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_tellurium', 'additions', 2, 'duration:', '0:10:25.342456')
('03/10/2024, 00:34:41', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_tin', 'additions', 111, 'duration:', '0:10:27.196091')
('03/10/2024, 00:34:48', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_titanium', 'additions', 457, 'duration:', '0:10:34.709568')
('03/10/2024, 00:34:48', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_tungsten', 'additions', 5, 'duration:', '0:10:34.791423')
('03/10/2024, 00:34:51', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_uranium', 'additions', 140, 'duration:', '0:10:37.048059')
('03/10/2024, 00:34:51', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_vegetable oil', 'additions', 37, 'duration:', '0:10:37.645731')
('03/10/2024, 00:37:44', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_water', 'additions', 10447, 'duration:', '0:13:30.707220')
('03/10/2024, 00:37:54', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_zinc', 'additions', 593, 'duration:', '0:13:40.767519')
('03/10/2024, 00:37:54', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'MaterialFootprint_zirconium', 'additions', 11, 'duration:', '0:13:40.946690')
('03/10/2024, 00:37:56', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_carbondioxide-kilogram', 'additions', 119, 'duration:', '0:13:42.969239')
('03/10/2024, 00:37:57', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_composting-kilogram', 'additions', 14, 'duration:', '0:13:43.210762')
('03/10/2024, 00:37:57', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_digestion-cubicmeter', 'additions', 6, 'duration:', '0:13:43.310868')
('03/10/2024, 00:37:57', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_digestion-kilogram', 'additions', 4, 'duration:', '0:13:43.380379')
('03/10/2024, 00:38:02', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_hazardous-cubicmeter', 'additions', 308, 'duration:', '0:13:48.520103')
('03/10/2024, 00:38:29', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_hazardous-kilogram', 'additions', 1583, 'duration:', '0:14:15.164713')
('03/10/2024, 00:38:29', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_incineration-cubicmeter', 'additions', 2, 'duration:', '0:14:15.203260')
('03/10/2024, 00:39:01', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_incineration-kilogram', 'additions', 1954, 'duration:', '0:14:47.963800')
('03/10/2024, 00:39:02', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_landfill-cubicmeter', 'additions', 2, 'duration:', '0:14:47.994926')
('03/10/2024, 00:39:27', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_landfill-kilogram', 'additions', 1530, 'duration:', '0:15:13.857969')
('03/10/2024, 00:39:36', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_openburning-kilogram', 'additions', 535, 'duration:', '0:15:22.613275')
('03/10/2024, 00:39:41', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_radioactive-cubicmeter', 'additions', 308, 'duration:', '0:15:27.723556')
('03/10/2024, 00:39:42', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_recycling-kilogram', 'additions', 71, 'duration:', '0:15:28.923565')
('03/10/2024, 00:40:52', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_total-cubicmeter', 'additions', 4226, 'duration:', '0:16:38.939939')
('03/10/2024, 00:48:45', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2060', 'WasteFootprint_total-kilogram', 'additions', 28467, 'duration:', '0:24:31.333727')
