0;1;2;tuple
EF v3.0 no LT;human toxicity: carcinogenic, inorganics no LT;comparative toxic unit for human (CTUh) no LT;('EF v3.0 no LT', 'human toxicity: carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')
EF v3.0 no LT;human toxicity: carcinogenic, metals no LT;comparative toxic unit for human (CTUh) no LT;('EF v3.0 no LT', 'human toxicity: carcinogenic, metals no LT', 'comparative toxic unit for human (CTUh) no LT')
EF v3.0 no LT;human toxicity: carcinogenic, organics no LT;comparative toxic unit for human (CTUh) no LT;('EF v3.0 no LT', 'human toxicity: carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')
EF v3.0 no LT;human toxicity: non-carcinogenic no LT;comparative toxic unit for human (CTUh) no LT;('EF v3.0 no LT', 'human toxicity: non-carcinogenic no LT', 'comparative toxic unit for human (CTUh) no LT')
EF v3.0 no LT;human toxicity: non-carcinogenic, inorganics no LT;comparative toxic unit for human (CTUh) no LT;('EF v3.0 no LT', 'human toxicity: non-carcinogenic, inorganics no LT', 'comparative toxic unit for human (CTUh) no LT')
EF v3.0 no LT;human toxicity: non-carcinogenic, metals no LT;comparative toxic unit for human (CTUh) no LT;('EF v3.0 no LT', 'human toxicity: non-carcinogenic, metals no LT', 'comparative toxic unit for human (CTUh) no LT')
EF v3.0 no LT;human toxicity: non-carcinogenic, organics no LT;comparative toxic unit for human (CTUh) no LT;('EF v3.0 no LT', 'human toxicity: non-carcinogenic, organics no LT', 'comparative toxic unit for human (CTUh) no LT')
EF v3.0 no LT;ionising radiation: human health no LT;human exposure efficiency relative to u235 no LT;('EF v3.0 no LT', 'ionising radiation: human health no LT', 'human exposure efficiency relative to u235 no LT')
EF v3.0 no LT;land use no LT;soil quality index no LT;('EF v3.0 no LT', 'land use no LT', 'soil quality index no LT')
EF v3.0 no LT;material resources: metals/minerals no LT;abiotic depletion potential (ADP): elements (ultimate reserves) no LT;('EF v3.0 no LT', 'material resources: metals/minerals no LT', 'abiotic depletion potential (ADP): elements (ultimate reserves) no LT')
EF v3.0 no LT;ozone depletion no LT;ozone depletion potential (ODP) no LT;('EF v3.0 no LT', 'ozone depletion no LT', 'ozone depletion potential (ODP) no LT')
EF v3.0 no LT;particulate matter formation no LT;impact on human health no LT;('EF v3.0 no LT', 'particulate matter formation no LT', 'impact on human health no LT')
EF v3.0 no LT;photochemical oxidant formation: human health no LT;tropospheric ozone concentration increase no LT;('EF v3.0 no LT', 'photochemical oxidant formation: human health no LT', 'tropospheric ozone concentration increase no LT')
EF v3.0 no LT;water use no LT;user deprivation potential (deprivation-weighted water consumption) no LT;('EF v3.0 no LT', 'water use no LT', 'user deprivation potential (deprivation-weighted water consumption) no LT')
ReCiPe 2016 v1.03, midpoint (I);acidification: terrestrial;terrestrial acidification potential (TAP);('ReCiPe 2016 v1.03, midpoint (I)', 'acidification: terrestrial', 'terrestrial acidification potential (TAP)')
ReCiPe 2016 v1.03, midpoint (I);climate change;global warming potential (GWP1000);('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')
ReCiPe 2016 v1.03, midpoint (I);ecotoxicity: freshwater;freshwater ecotoxicity potential (FETP);('ReCiPe 2016 v1.03, midpoint (I)', 'ecotoxicity: freshwater', 'freshwater ecotoxicity potential (FETP)')
ReCiPe 2016 v1.03, midpoint (I);ecotoxicity: marine;marine ecotoxicity potential (METP);('ReCiPe 2016 v1.03, midpoint (I)', 'ecotoxicity: marine', 'marine ecotoxicity potential (METP)')
ReCiPe 2016 v1.03, midpoint (I);ecotoxicity: terrestrial;terrestrial ecotoxicity potential (TETP);('ReCiPe 2016 v1.03, midpoint (I)', 'ecotoxicity: terrestrial', 'terrestrial ecotoxicity potential (TETP)')
ReCiPe 2016 v1.03, midpoint (I);energy resources: non-renewable, fossil;fossil fuel potential (FFP);('ReCiPe 2016 v1.03, midpoint (I)', 'energy resources: non-renewable, fossil', 'fossil fuel potential (FFP)')
ReCiPe 2016 v1.03, midpoint (I);eutrophication: freshwater;freshwater eutrophication potential (FEP);('ReCiPe 2016 v1.03, midpoint (I)', 'eutrophication: freshwater', 'freshwater eutrophication potential (FEP)')
ReCiPe 2016 v1.03, midpoint (I);eutrophication: marine;marine eutrophication potential (MEP);('ReCiPe 2016 v1.03, midpoint (I)', 'eutrophication: marine', 'marine eutrophication potential (MEP)')
ReCiPe 2016 v1.03, midpoint (I);human toxicity: carcinogenic;human toxicity potential (HTPc);('ReCiPe 2016 v1.03, midpoint (I)', 'human toxicity: carcinogenic', 'human toxicity potential (HTPc)')
ReCiPe 2016 v1.03, midpoint (I);human toxicity: non-carcinogenic;human toxicity potential (HTPnc);('ReCiPe 2016 v1.03, midpoint (I)', 'human toxicity: non-carcinogenic', 'human toxicity potential (HTPnc)')
ReCiPe 2016 v1.03, midpoint (I);ionising radiation;ionising radiation potential (IRP);('ReCiPe 2016 v1.03, midpoint (I)', 'ionising radiation', 'ionising radiation potential (IRP)')
ReCiPe 2016 v1.03, midpoint (I);land use;agricultural land occupation (LOP);('ReCiPe 2016 v1.03, midpoint (I)', 'land use', 'agricultural land occupation (LOP)')
ReCiPe 2016 v1.03, midpoint (I);material resources: metals/minerals;surplus ore potential (SOP);('ReCiPe 2016 v1.03, midpoint (I)', 'material resources: metals/minerals', 'surplus ore potential (SOP)')
ReCiPe 2016 v1.03, midpoint (I);ozone depletion;ozone depletion potential (ODPinfinite);('ReCiPe 2016 v1.03, midpoint (I)', 'ozone depletion', 'ozone depletion potential (ODPinfinite)')
ReCiPe 2016 v1.03, midpoint (I);particulate matter formation;particulate matter formation potential (PMFP);('ReCiPe 2016 v1.03, midpoint (I)', 'particulate matter formation', 'particulate matter formation potential (PMFP)')
ReCiPe 2016 v1.03, midpoint (I);photochemical oxidant formation: human health;photochemical oxidant formation potential: humans (HOFP);('ReCiPe 2016 v1.03, midpoint (I)', 'photochemical oxidant formation: human health', 'photochemical oxidant formation potential: humans (HOFP)')
ReCiPe 2016 v1.03, midpoint (I);photochemical oxidant formation: terrestrial ecosystems;photochemical oxidant formation potential: ecosystems (EOFP);('ReCiPe 2016 v1.03, midpoint (I)', 'photochemical oxidant formation: terrestrial ecosystems', 'photochemical oxidant formation potential: ecosystems (EOFP)')
ReCiPe 2016 v1.03, midpoint (I);water use;water consumption potential (WCP);('ReCiPe 2016 v1.03, midpoint (I)', 'water use', 'water consumption potential (WCP)')
Material Demand Footprint;MaterialDemand (Antimony);Antimony (demand);('Material Demand Footprint', 'MaterialDemand (Antimony)', 'Antimony (demand)')
Material Demand Footprint;MaterialDemand (Bauxite);Bauxite (demand);('Material Demand Footprint', 'MaterialDemand (Bauxite)', 'Bauxite (demand)')
Material Demand Footprint;MaterialDemand (Borates);Borates (demand);('Material Demand Footprint', 'MaterialDemand (Borates)', 'Borates (demand)')
Material Demand Footprint;MaterialDemand (Cement);Cement (demand);('Material Demand Footprint', 'MaterialDemand (Cement)', 'Cement (demand)')
Material Demand Footprint;MaterialDemand (Cobalt);Cobalt (demand);('Material Demand Footprint', 'MaterialDemand (Cobalt)', 'Cobalt (demand)')
Material Demand Footprint;MaterialDemand (Coke);Coke (demand);('Material Demand Footprint', 'MaterialDemand (Coke)', 'Coke (demand)')
Material Demand Footprint;MaterialDemand (Copper);Copper (demand);('Material Demand Footprint', 'MaterialDemand (Copper)', 'Copper (demand)')
Material Demand Footprint;MaterialDemand (Electricity);Electricity (demand);('Material Demand Footprint', 'MaterialDemand (Electricity)', 'Electricity (demand)')
Material Demand Footprint;MaterialDemand (Fluorspar);Fluorspar (demand);('Material Demand Footprint', 'MaterialDemand (Fluorspar)', 'Fluorspar (demand)')
Material Demand Footprint;MaterialDemand (Gallium);Gallium (demand);('Material Demand Footprint', 'MaterialDemand (Gallium)', 'Gallium (demand)')
Material Demand Footprint;MaterialDemand (Gold);Gold (demand);('Material Demand Footprint', 'MaterialDemand (Gold)', 'Gold (demand)')
Material Demand Footprint;MaterialDemand (Graphite);Graphite (demand);('Material Demand Footprint', 'MaterialDemand (Graphite)', 'Graphite (demand)')
Material Demand Footprint;MaterialDemand (Helium);Helium (demand);('Material Demand Footprint', 'MaterialDemand (Helium)', 'Helium (demand)')
Material Demand Footprint;MaterialDemand (Indium);Indium (demand);('Material Demand Footprint', 'MaterialDemand (Indium)', 'Indium (demand)')
Material Demand Footprint;MaterialDemand (Latex);Latex (demand);('Material Demand Footprint', 'MaterialDemand (Latex)', 'Latex (demand)')
